t_wall_ns,seq,t_sensor_ns,latency_ms,status,bytes_out,ok
1779109512274110755,0,1779109512284190186,54.158,200,247138,1
1779109512756274051,3,1779109512785369141,39.444,200,247435,1
1779109513126698509,5,1779109513119460449,39.810,200,246358,1
1779109513599480564,8,1779109513620548828,36.874,200,245486,1
1779109513960883142,10,1779109513954606445,38.631,200,247287,1
1779109514439541832,13,1779109514455952393,33.133,200,246518,1
1779109514926577974,16,1779109514957316895,18.900,200,246150,1
1779109515261119634,18,1779109515291373779,29.178,200,246845,1
1779109515606411990,20,1779109515625429688,39.031,200,247718,1
1779109515965111527,22,1779109515959485596,27.008,200,247155,1
1779109516447207661,25,1779109516460572021,43.567,200,247415,1
1779109516939801712,28,1779109516961654541,17.062,200,247648,1
1779109517291801643,30,1779109517295710693,38.812,200,247153,1
1779109517788689899,33,1779109517796789795,39.509,200,247227,1
1779109518326272076,36,1779109518297858154,39.454,200,247102,1
1779109518795602191,39,1779109518798918457,40.203,200,246358,1
1779109519140651464,41,1779109519132986328,39.764,200,247077,1
1779109519479793672,43,1779109519467088135,40.450,200,247618,1
1779109519947590570,46,1779109519968248779,39.817,200,247398,1
1779109520292666496,48,1779109520302301270,21.066,200,247049,1
1779109520783977325,51,1779109520803375000,31.229,200,246361,1
1779109521157026942,53,1779109521137425049,38.616,200,247853,1
1779109521786727017,55,1779109521805527100,40.392,200,244650,1
1779109522128151148,57,1779109522139583252,38.325,200,246361,1
1779109522463258905,59,1779109522473645996,38.537,200,246354,1
1779109522797273345,61,1779109522807707520,40.189,200,248428,1
1779109523293410719,64,1779109523308788086,39.991,200,246723,1
1779109523630269916,66,1779109523642835205,32.417,200,244241,1
1779109524127008616,69,1779109524143912354,38.161,200,246546,1
1779109524966666525,72,1779109524979069580,43.792,200,247646,1
1779109525457209449,75,1779109525480131592,18.396,200,246950,1
1779109525801988951,77,1779109525814169434,39.759,200,245314,1
1779109526305486902,80,1779109526315239258,40.504,200,245621,1
1779109526805287973,81,1779109526816312256,28.912,200,246185,1
1779109527291141205,84,1779109527317542725,38.245,200,245586,1
1779109527639877820,86,1779109527651757813,39.379,200,248383,1
1779109528171119272,89,1779109528153001709,40.042,200,245683,1
1779109528651643311,90,1779109528654060303,37.368,200,246274,1
1779109529365037116,92,1779109529322136719,42.566,200,247602,1
1779109530169396051,95,1779109530157277832,39.271,200,246674,1
1779109530521290262,97,1779109530491427490,39.169,200,245759,1
1779109530982546612,100,1779109530992670654,39.956,200,246375,1
1779109531507149444,103,1779109531493755371,43.089,200,248852,1
1779109531967524714,106,1779109531994836914,37.720,200,246564,1
1779109532317965829,108,1779109532328899170,39.994,200,247160,1
1779109532803637411,111,1779109532829989746,40.321,200,248184,1
1779109533148016179,113,1779109533164051270,38.128,200,247682,1
1779109533504784643,115,1779109533498114014,37.982,200,244448,1
1779109534003330458,118,1779109533999208008,38.206,200,246115,1
1779109534471755176,121,1779109534500291992,39.771,200,245935,1
1779109534821520187,123,1779109534834345947,40.039,200,245603,1
1779109535183547065,125,1779109535168402344,37.259,200,245878,1
1779109535824410986,127,1779109535836519775,42.839,200,247447,1
1779109536311418810,130,1779109536337605713,38.396,200,247872,1
1779109536670930600,132,1779109536671661377,45.718,200,246617,1
1779109537148150367,135,1779109537172744873,38.737,200,245524,1
1779109537495578355,137,1779109537506799561,33.443,200,245464,1
1779109538162758343,139,1779109538174911377,23.035,200,248149,1
1779109538496881061,141,1779109538508977295,22.132,200,246406,1
1779109538990555246,144,1779109539010073730,40.258,200,247427,1
1779109539349650207,146,1779109539344134277,39.846,200,246963,1
1779109539809246021,149,1779109539845223877,35.666,200,247816,1
1779109540159100081,151,1779109540179287354,36.911,200,247926,1
1779109540503487135,153,1779109540513355957,39.122,200,247491,1
1779109540991213651,156,1779109541014458740,39.542,200,246421,1
